Fecha,Hora,T[°C],H[%]
11/10/2016,18:16:37,14.4,42.8
11/10/2016,18:16:43,14.6,42.6
11/10/2016,18:16:49,14.6,43.0
11/10/2016,18:16:56,14.6,43.0
11/10/2016,18:17:2,14.6,43.0
11/10/2016,18:17:13,14.4,43.2
11/10/2016,18:17:20,14.4,43.2
11/10/2016,18:17:26,14.6,42.6
11/10/2016,18:17:32,14.6,42.6
11/10/2016,18:17:38,14.8,42.6
11/10/2016,18:17:45,15.0,42.4
11/10/2016,18:17:51,14.8,42.6
11/10/2016,18:18:0,14.6,43.0
11/10/2016,18:18:6,14.4,43.2
11/10/2016,18:18:13,14.4,43.0
11/10/2016,18:18:19,14.2,43.0
11/10/2016,18:18:25,14.2,43.0
11/10/2016,18:18:31,14.4,42.8
11/10/2016,18:18:43,14.4,42.8
11/10/2016,18:18:49,14.2,43.0
11/10/2016,18:18:55,14.2,42.8
11/10/2016,18:19:2,14.2,43.0
11/10/2016,18:19:8,14.2,43.0
11/10/2016,18:19:14,14.4,42.8
11/10/2016,18:19:21,14.6,42.8
11/10/2016,18:19:29,14.6,43.0
11/10/2016,18:19:36,14.6,42.8
11/10/2016,18:19:42,14.4,43.0
11/10/2016,18:19:48,14.4,43.0
11/10/2016,18:19:55,14.4,42.8
11/10/2016,18:20:1,14.6,42.6
11/10/2016,18:20:10,14.6,43.0
11/10/2016,18:20:16,14.6,42.8
11/10/2016,18:20:22,14.4,43.2
11/10/2016,18:20:29,14.2,43.4
11/10/2016,18:20:40,14.0,43.6
11/10/2016,18:20:46,14.0,43.2
11/10/2016,18:20:52,14.0,43.2
11/10/2016,18:20:59,14.0,43.2
11/10/2016,18:21:5,14.0,43.4
11/10/2016,18:21:11,14.0,43.4
11/10/2016,18:21:18,14.0,43.4
11/10/2016,18:21:24,14.0,43.4
11/10/2016,18:21:30,14.0,43.2
11/10/2016,18:21:39,14.2,42.8
11/10/2016,18:21:48,14.2,42.8
11/10/2016,18:21:54,14.2,43.0
11/10/2016,18:22:0,14.2,43.2
11/10/2016,18:22:9,14.2,43.2
11/10/2016,18:22:16,14.0,43.4
11/10/2016,18:22:22,14.0,43.4
11/10/2016,18:22:31,14.0,43.4
11/10/2016,18:22:37,14.0,43.2
11/10/2016,18:22:43,14.0,43.0
11/10/2016,18:22:50,14.0,43.0
11/10/2016,18:23:1,14.0,43.0
11/10/2016,18:23:7,14.0,42.8
11/10/2016,18:23:14,14.2,42.4
11/10/2016,18:23:20,14.2,43.0
11/10/2016,18:23:26,14.2,43.0
11/10/2016,18:23:35,14.2,43.0
11/10/2016,18:23:41,14.2,43.0
11/10/2016,18:23:50,14.0,43.8
11/10/2016,18:23:59,14.2,43.2
11/10/2016,18:24:5,14.2,43.2
11/10/2016,18:24:12,14.2,43.2
11/10/2016,18:24:18,14.4,42.8
11/10/2016,18:24:24,14.4,42.4
11/10/2016,18:24:30,14.4,42.6
11/10/2016,18:24:37,14.4,42.6
11/10/2016,18:24:43,14.4,42.6
11/10/2016,18:24:49,14.2,43.0
11/10/2016,18:24:56,14.2,43.0
11/10/2016,18:25:2,14.0,43.0
11/10/2016,18:25:8,14.2,42.8
11/10/2016,18:25:14,14.2,42.8
11/10/2016,18:25:21,14.2,42.8
11/10/2016,18:25:30,14.2,43.2
11/10/2016,18:25:36,14.2,43.2
11/10/2016,18:25:42,14.0,43.8
11/10/2016,18:25:48,14.0,43.8
11/10/2016,18:25:55,14.2,43.6
11/10/2016,18:26:3,14.2,43.2
11/10/2016,18:26:10,14.2,43.2
11/10/2016,18:26:16,14.2,42.8
11/10/2016,18:26:22,14.2,42.8
11/10/2016,18:26:29,14.0,43.0
11/10/2016,18:26:37,14.2,43.2
11/10/2016,18:26:44,14.2,43.2
11/10/2016,18:26:50,14.2,43.2
11/10/2016,18:26:56,14.2,43.2
11/10/2016,18:27:3,14.2,43.4
11/10/2016,18:27:9,14.0,43.4
11/10/2016,18:27:18,14.0,43.4
11/10/2016,18:27:26,14.0,43.4
11/10/2016,18:27:33,14.0,43.2
11/10/2016,18:27:39,14.0,43.0
11/10/2016,18:27:48,14.2,42.6
11/10/2016,18:27:54,14.4,42.4
11/10/2016,18:28:0,14.4,42.6
11/10/2016,18:28:7,14.4,42.8
11/10/2016,18:28:13,14.4,42.8
11/10/2016,18:28:19,14.2,43.0
11/10/2016,18:28:26,14.2,43.4
11/10/2016,18:28:34,14.2,43.2
11/10/2016,18:28:41,14.2,43.2
11/10/2016,18:28:50,14.2,43.2
11/10/2016,18:28:56,14.2,43.4
11/10/2016,18:29:2,14.0,43.2
11/10/2016,18:29:8,14.0,43.2
11/10/2016,18:29:15,14.0,43.2
11/10/2016,18:29:21,14.0,43.2
11/10/2016,18:29:27,14.0,43.0
11/10/2016,18:29:34,14.0,43.0
11/10/2016,18:29:40,14.0,43.2
11/10/2016,18:29:49,14.0,43.2
11/10/2016,18:29:57,14.0,43.2
11/10/2016,18:30:4,14.0,43.2
11/10/2016,18:30:10,14.2,43.0
11/10/2016,18:30:16,14.4,42.8
11/10/2016,18:30:23,14.6,42.6
11/10/2016,18:30:31,14.6,42.6
11/10/2016,18:30:38,14.6,42.6
11/10/2016,18:30:44,14.4,42.8
11/10/2016,18:30:50,14.2,43.0
11/10/2016,18:30:57,14.0,43.2
11/10/2016,18:31:3,14.2,43.2
11/10/2016,18:31:9,14.4,43.2
11/10/2016,18:31:15,14.6,43.2
11/10/2016,18:31:22,14.8,43.2
11/10/2016,18:31:28,14.8,43.2
11/10/2016,18:31:34,14.8,43.0
11/10/2016,18:31:41,14.8,42.8
11/10/2016,18:31:50,14.6,42.8
11/10/2016,18:31:58,14.6,42.6
11/10/2016,18:32:5,14.6,42.6
11/10/2016,18:32:11,14.6,42.6
11/10/2016,18:32:17,14.4,42.8
11/10/2016,18:32:26,14.4,42.8
11/10/2016,18:32:35,14.2,42.8
11/10/2016,18:32:44,14.2,42.8
11/10/2016,18:32:50,14.0,43.0
11/10/2016,18:32:56,14.0,43.0
11/10/2016,18:33:3,14.2,42.6
11/10/2016,18:33:12,14.2,42.6
11/10/2016,18:33:18,14.2,42.6
11/10/2016,18:33:27,14.2,42.4
11/10/2016,18:33:33,14.2,42.4
11/10/2016,18:33:39,14.0,42.8
11/10/2016,18:33:48,14.0,42.8
11/10/2016,18:33:57,14.0,43.0
11/10/2016,18:34:3,14.0,43.2
11/10/2016,18:34:9,14.0,43.2
11/10/2016,18:34:16,14.0,43.2
11/10/2016,18:34:22,14.2,43.2
11/10/2016,18:34:28,14.2,43.2
11/10/2016,18:34:37,14.2,43.4
11/10/2016,18:34:43,14.2,43.6
11/10/2016,18:34:50,14.2,43.6
11/10/2016,18:34:56,14.0,43.8
11/10/2016,18:35:2,14.0,43.6
11/10/2016,18:35:8,14.0,43.6
11/10/2016,18:35:15,14.2,43.4
11/10/2016,18:35:26,14.4,43.2
11/10/2016,18:35:35,14.4,43.2
11/10/2016,18:35:41,14.4,43.4
11/10/2016,18:35:47,14.6,43.0
11/10/2016,18:35:54,14.4,43.0
11/10/2016,18:36:3,14.2,43.4
11/10/2016,18:36:9,14.2,43.2
11/10/2016,18:36:15,14.2,43.0
11/10/2016,18:36:21,14.2,43.2
11/10/2016,18:36:28,14.4,43.0
11/10/2016,18:36:34,14.4,42.8
11/10/2016,18:36:40,14.4,42.8
11/10/2016,18:36:47,14.4,42.8
11/10/2016,18:36:53,14.2,42.8
11/10/2016,18:36:59,14.2,43.0
11/10/2016,18:37:6,14.4,43.0
11/10/2016,18:37:12,14.6,42.8
11/10/2016,18:37:18,14.8,42.8
11/10/2016,18:37:27,15.0,42.8
11/10/2016,18:37:36,14.8,42.8
11/10/2016,18:37:45,14.6,42.8
11/10/2016,18:37:51,14.6,43.0
11/10/2016,18:37:57,14.4,43.2
11/10/2016,18:38:4,14.4,43.2
11/10/2016,18:38:10,14.6,43.4
11/10/2016,18:38:16,14.6,43.6
11/10/2016,18:38:22,14.6,43.6
11/10/2016,18:38:29,14.8,43.4
11/10/2016,18:38:35,14.6,43.6
11/10/2016,18:38:44,14.4,43.6
11/10/2016,18:38:50,14.6,43.2
11/10/2016,18:38:56,14.6,43.0
11/10/2016,18:39:3,14.6,43.0
11/10/2016,18:39:9,14.8,42.8
11/10/2016,18:39:15,15.0,42.8
11/10/2016,18:39:22,14.8,43.4
11/10/2016,18:39:28,14.6,43.8
11/10/2016,18:39:34,14.4,44.0
11/10/2016,18:39:40,14.2,44.0
11/10/2016,18:39:47,14.0,43.8
11/10/2016,18:39:53,14.2,43.4
11/10/2016,18:39:59,14.4,43.2
11/10/2016,18:40:6,14.6,43.0
11/10/2016,18:40:12,14.6,43.0
11/10/2016,18:40:23,14.8,43.0
11/10/2016,18:40:32,14.6,43.0
11/10/2016,18:40:38,14.4,43.0
11/10/2016,18:40:45,14.2,43.0
11/10/2016,18:40:51,14.2,43.2
11/10/2016,18:40:57,14.0,43.4
11/10/2016,18:41:3,14.0,43.6
11/10/2016,18:41:10,14.0,43.8
11/10/2016,18:41:16,14.0,43.8
11/10/2016,18:41:22,14.0,44.0
11/10/2016,18:41:29,14.0,44.0
11/10/2016,18:41:35,14.0,44.0
11/10/2016,18:41:41,14.0,44.0
11/10/2016,18:41:47,14.0,44.2
11/10/2016,18:41:56,14.0,44.0
11/10/2016,18:42:3,14.2,43.8
11/10/2016,18:42:9,14.2,43.8
11/10/2016,18:42:15,14.4,43.6
11/10/2016,18:42:24,14.4,43.6
11/10/2016,18:42:30,14.4,43.6
11/10/2016,18:42:37,14.4,43.6
11/10/2016,18:42:43,14.4,43.4
11/10/2016,18:42:54,14.2,43.6
11/10/2016,18:43:0,14.2,37.0
11/10/2016,18:43:7,14.2,36.8
11/10/2016,18:43:13,14.0,36.8
11/10/2016,18:43:19,14.0,37.0
11/10/2016,18:43:26,14.2,37.0
11/10/2016,18:43:32,14.2,43.6
11/10/2016,18:43:38,14.2,43.8
11/10/2016,18:43:44,14.2,44.0
11/10/2016,18:43:53,14.4,43.6
11/10/2016,18:44:0,14.2,43.2
11/10/2016,18:44:6,14.2,43.0
11/10/2016,18:44:15,14.2,43.0
11/10/2016,18:44:24,14.2,43.0
11/10/2016,18:44:30,14.0,43.4
11/10/2016,18:44:36,14.0,43.8
11/10/2016,18:44:42,14.0,44.0
11/10/2016,18:44:49,14.0,43.8
11/10/2016,18:44:55,14.0,43.8
11/10/2016,18:45:1,14.0,43.8
11/10/2016,18:45:13,14.0,43.8
11/10/2016,18:45:19,14.0,43.8
11/10/2016,18:45:25,14.0,43.8
11/10/2016,18:45:32,14.0,44.0
11/10/2016,18:45:38,14.0,44.0
11/10/2016,18:45:44,14.0,44.0
11/10/2016,18:45:50,14.0,44.0
11/10/2016,18:45:57,14.0,44.0
11/10/2016,18:46:3,14.0,43.8
11/10/2016,18:46:9,14.2,43.8
11/10/2016,18:46:16,14.2,43.8
11/10/2016,18:46:22,14.2,43.8
11/10/2016,18:46:28,14.2,43.8
11/10/2016,18:46:35,14.4,43.6
11/10/2016,18:46:41,14.2,43.6
11/10/2016,18:46:47,14.2,43.6
11/10/2016,18:46:53,14.2,43.6
11/10/2016,18:47:0,14.2,43.8
11/10/2016,18:47:6,14.0,43.8
11/10/2016,18:47:12,14.0,43.4
11/10/2016,18:47:19,14.0,43.4
11/10/2016,18:47:25,14.0,43.4
11/10/2016,18:47:31,14.0,43.4
11/10/2016,18:47:40,14.0,43.4
11/10/2016,18:47:46,14.0,43.6
11/10/2016,18:47:53,14.0,43.4
11/10/2016,18:47:59,14.0,43.2
11/10/2016,18:48:8,14.0,43.2
11/10/2016,18:48:14,14.0,43.4
11/10/2016,18:48:23,14.0,43.4
11/10/2016,18:48:29,14.0,43.6
11/10/2016,18:48:36,14.0,43.6
11/10/2016,18:48:42,14.0,43.6
11/10/2016,18:48:48,14.0,43.6
11/10/2016,18:48:57,14.0,43.8
11/10/2016,18:49:3,14.2,43.8
11/10/2016,18:49:9,14.4,43.6
11/10/2016,18:49:16,14.4,43.6
11/10/2016,18:49:22,14.4,43.4
11/10/2016,18:49:28,14.6,43.2
11/10/2016,18:49:35,14.6,43.0
11/10/2016,18:49:41,14.6,43.2
11/10/2016,18:49:50,14.8,43.0
11/10/2016,18:49:56,15.0,42.8
11/10/2016,18:50:2,14.8,42.8
11/10/2016,18:50:9,14.8,42.8
11/10/2016,18:50:15,14.6,43.0
11/10/2016,18:50:21,14.6,43.0
11/10/2016,18:50:27,14.6,43.0
11/10/2016,18:50:34,14.8,42.8
11/10/2016,18:50:40,14.8,42.8
11/10/2016,18:50:46,15.0,42.8
11/10/2016,18:50:53,15.0,42.8
11/10/2016,18:50:59,15.0,43.0
11/10/2016,18:51:5,15.0,43.2
11/10/2016,18:51:11,15.0,43.2
11/10/2016,18:51:18,15.0,42.8
11/10/2016,18:51:24,15.0,42.8
11/10/2016,18:51:30,15.0,42.8
11/10/2016,18:51:39,15.0,42.8
11/10/2016,18:51:48,15.0,42.4
11/10/2016,18:51:54,15.0,42.6
11/10/2016,18:52:6,15.0,42.4
11/10/2016,18:52:14,15.0,42.2
11/10/2016,18:52:21,15.0,42.2
11/10/2016,18:52:30,15.0,42.4
11/10/2016,18:52:36,15.0,42.4
11/10/2016,18:52:42,15.0,42.4
11/10/2016,18:52:49,15.0,42.6
11/10/2016,18:52:55,15.0,42.6
11/10/2016,18:53:1,15.0,42.8
11/10/2016,18:53:7,14.8,42.8
11/10/2016,18:53:21,14.8,43.0
11/10/2016,18:53:28,14.8,42.8
11/10/2016,18:53:34,14.8,42.6
11/10/2016,18:53:40,14.8,42.6
11/10/2016,18:53:46,15.0,42.6
11/10/2016,18:53:55,15.0,42.4
11/10/2016,18:54:1,15.0,42.6
11/10/2016,18:54:10,15.0,42.8
11/10/2016,18:54:19,15.0,42.8
11/10/2016,18:54:28,15.0,42.8
11/10/2016,18:54:34,15.0,42.8
11/10/2016,18:54:40,15.0,43.0
11/10/2016,18:54:49,15.0,42.8
11/10/2016,18:54:56,15.0,42.8
11/10/2016,18:55:2,15.0,42.6
11/10/2016,18:55:8,14.8,42.8
11/10/2016,18:55:14,14.6,42.6
11/10/2016,18:55:23,14.6,42.8
11/10/2016,18:55:30,14.4,42.8
11/10/2016,18:55:38,14.2,43.0
11/10/2016,18:55:45,14.2,43.0
11/10/2016,18:55:51,14.2,43.0
11/10/2016,18:55:57,14.0,43.2
11/10/2016,18:56:4,14.0,43.4
11/10/2016,18:56:10,14.0,43.6
11/10/2016,18:56:16,14.0,43.6
11/10/2016,18:56:23,14.0,43.8
11/10/2016,18:56:29,14.0,43.8
11/10/2016,18:56:35,14.0,43.8
11/10/2016,18:56:41,14.0,43.8
11/10/2016,18:56:48,14.2,44.0
11/10/2016,18:56:54,14.4,44.0
11/10/2016,18:57:0,14.4,44.0
11/10/2016,18:57:7,14.6,43.8
11/10/2016,18:57:13,14.6,43.8
11/10/2016,18:57:19,14.4,43.8
11/10/2016,18:57:25,14.2,43.8
11/10/2016,18:57:32,14.2,44.0
11/10/2016,18:57:38,14.0,44.2
11/10/2016,18:57:44,14.0,44.2
11/10/2016,18:57:51,14.0,44.2
11/10/2016,18:57:57,14.0,44.0
11/10/2016,18:58:3,14.0,43.6
11/10/2016,18:58:10,14.0,43.6
11/10/2016,18:58:16,14.0,43.6
11/10/2016,18:58:30,14.0,43.6
11/10/2016,18:58:41,14.0,43.6
